2   | 2
3   | 3
4   | 2
5   |
6   | 2 3
7   |
8   | 2
9   | 3
10  | 2
11  |
12  | 2 3
13  |
14  | 2
15  | 3
16  | 2
17  |
18  | 2 3
19  |
20  | 2
21  | 3
22  | 2
23  |
24  | 2 3
25  |
26  | 2
27  | 3
28  | 2
29  |
30  | 2 3
31  |
32  | 2
33  | 3
34  | 2
35  |
36  | 2 3
37  |
38  | 2
39  | 3
40  | 2
41  |
42  | 2 3
43  |
44  | 2
45  | 3
46  | 2
47  |
48  | 2 3
49  |
50  | 2
51  | 3
52  | 2
53  |
54  | 2 3
55  |
56  | 2
57  | 3
58  | 2
59  |
60  | 2 3
61  |
62  | 2
63  | 3
64  | 2
65  |
66  | 2 3
67  |
68  | 2
69  | 3
70  | 2
71  |
72  | 2 3
73  |
74  | 2
75  | 3
76  | 2
77  |
78  | 2 3
79  |
80  | 2
81  | 3
82  | 2
83  |
84  | 2 3
85  |
86  | 2
87  | 3
88  | 2
89  |
90  | 2 3
91  |
92  | 2
93  | 3
94  | 2
95  |
96  | 2 3
97  |
98  | 2
99  | 3
100 | 2
101 |
102 | 2 3
103 |
104 | 2
105 | 3
106 | 2
